Habitat	Flower petal color	Leaf type	Leaf blade edges	Flower symmetry	Number of sepals, petals or tepals	Fusion of sepals and petals	Stamen number	Fruit type	Fruit length (mm)	Bulblets replace flowers	Carpels fused	Cleistogamous flowers	Corolla palate	Epicalyx	Epicalyx number of parts	Flower description	Flower reproductive parts	Form of style	Fused stamen clusters	Hypanthium	Inner tepals (Rumex)	Marks on petals	Nectar spur	Number of carpels	Number of pistils	Number of styles	Ovary position	Petal and sepal colors	Petal appearance	Petal folds or pleats	Petal hairs (Viola)	Petal length relative to sepals	Petal number	Petal tips (Cuscuta)	Reproductive system	Scales inside corolla	Sepal and petal color	Sepal appendages	Sepal length	Sepal number	Sepals fused only to sepals	Stamen attachment	Stamen position relative to petals	Stamens fused	Staminodes	Stigma position	Umbel flower reproductive parts	Upper lip of bilabiate corolla	Achene relative orientation	Achene shape	Achene surface (Polygonum)	Achene type	Berry color	Capsule color (Viola)	Fruit (pyxis) dehiscence	Fruit features (Brassicaceae)	Fruit locules	Fruit type (specific)	Legumes (Fabaceae)	Mericarp length	Mericarp segment shape (Desmodium)	Spots or streaks on berries	Ovary stipe	Rows of seeds in fruit (Brassicaceae)	Schizocarpic fruit compression	Schizocarpic fruit segments	Seed relative length	Seed surface	Wings on fruit	Fruits with thorn-like defensive structures	Leaves have glandular dots or scales	Sap	Sap color	Growth form	Young leaf color	Spines on plant	Bracteole number (Apiaceae)	Final leaf segment length (compound lvs only)	Final leaf segment length to width ratio (compound lvs only)	Hairs on underside of leaf	Hairs on upper side of leaf	Leaf arrangement	Leaf blade base	Leaf blade base shape	Leaf blade hairs	Leaf blade length	Leaf blade shape	Leaf surface color	Leaf blade width	Leaf spines	Leaf stalks	Leaf stalk attaches to leaf	Leaf stalk base	Leaf teeth and lobes	Leaflet number	Leaves per node	Pinnately compound leaves	Stipule features	Stipules	Branched tendrils	Hair between stem nodes	Leaves on flowering stem	Plant height (cm)	Tendril origin	Tendrils	Corolla morphology	Inflorescence	Petal and sepal arrangement	Petal length	Capsule ribs	Capsule splits	Leaf tip	Hairs between stem nodes	Anther with pink, reddish, or purplish tint	Anther tube length (mm)	Calyx growth after flowering	Calyx symmetry	The petal margins have cilia	Filament surface	Flower diameter (mm)	Flower number	Flower orientation	Fringed petal edges	Hairs on flower stalk	Hairs on inflorescence axis	Length of peduncle	Number of branches in umbel	Perianth shape	Petal narrows at the base	Petal outline	Petal tip shape	Sepal appearance	Sepal color	Sepal shape	Sepal uniformity	Stamen lengths	The stigma protrudes beyond the mouth of the corolla	Fruit shape	Fruit stalk orientation	Fruit width	Hairs on fruit	Bracteoles	Final leaf segment width (compound lvs only)	Floral bract texture	Floral bracts	Hairs on leaf stalk	Hooked hairs on underside of leaf	Inflated hairs on leaf	Leaf blade base symmetry	There is a noticeable powdery or waxy bloom on the underside of the leaf	Leaf blade flatness	Leaf blade primary vein pattern	Leaf blade texture	Leaf blade vein pattern	Leaf blade veins	Leaf hair orientation	The upper side of the leaf	Leaf stalk length	Tufts (clusters) of small leaves in axils	Leaf appearance change from the base to further up on the stem	Leaf appearance along the stem	Leaflet petiolules	Stipels	Plant odor	Direction of stem hairs	Hooked hairs on stem between nodes	The stem has a powdery or waxy film on it that can be rubbed away	Stem nodes swollen	Stem orientation	Stem spacing	The petals have at least one nectary	Petal width	Sepal texture	Hypanthium length	Inflorescence length	Style length (mm)	The stipule margins have teeth on them	The stipules are fused to the petioles for some or most of their length	Stipule length (mm)	Flowering stem width	The stems are succulent	Stamen length	Flower length	Anther attachment	Inflorescence width	The sepals have cilia on their edges	Sepal special features	Sepal tip shape	Relative fruit length	Anther length	Filament length (mm)	Inflorescence type	Fruit length to width ratio	Stigma length (mm)	Teeth per side of leaf blade				
terrestrial	yellow	compound	teeth	bilaterally symmetrical	5||4	not fused||fused into a cup or tube	10	dry but does not split open	2.5^4.5	no	?||solitary||not fused	no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	knob-like at the tip, and unbranched	2	yes	?	?	no	1	1	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no||yes	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	yes	not attached to petals	?	yes	no	?||at the tip of the style	?	?	?	?	?	?	?	?	?	?	1	splits into two valves, but has a single carpel like a pea pod (legume)	with prickles||coiled in spirals before they split or fall	?	?	?	?	?	?	0	height is greater than width	smooth or without markings	no	yes	no	clear and watery	clear	herb	green	no||yes	0	4^12	1^2.5	fuzzy or hairy	fuzzy or hairy	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	?	widest near the middle and tapering at both ends (elliptic)||egg-shaped with the widest point above the middle (obovate)	uniform	?	no	yes	?	?	?	1^3	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes	at least one full leaf above the base	10^40	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	2^7	?	?||by two main valves, teeth or pores	blunt or rounded, with a notch at the tip (retuse)||rounded, with no point	have glands	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	1^8	?	?	?	?	?	?	?	?	widest below the middle and broadly tapering at both ends (ovate)	?	?	?	?	?	?	?	spherical	?	3^5	no||yes	?	3^7	?	yes	?	?	?	symmetrical	?	?	?	thin and dry like paper (scarious)||thin and flexible and almost translucent like a membrane (membranaceous)	?	?	?	?	5^20	?	?	all leaves are nearly similar in size, teeth, and length of stalks	yes	no	no	point mostly upwards to outwards	?	?	?	upright or angled outwards||trail at the base, but may turn upwards at the tips	?	?	?	?	?	3^100	?	no||yes	yes	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Medicago minima	Medicago	Fabaceae	Fabales
terrestrial	yellow	compound	teeth	bilaterally symmetrical	5||4	?	10	dry and splits open	30^100	no	?||solitary||not fused	no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	knob-like at the tip, and unbranched	2	yes	?	?	no	1	1	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no||yes	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	not attached to petals	?	yes	no	?||at the tip of the style	?	?	?	?	?	?	?	?	?	?	1	splits into two valves, but has a single carpel like a pea pod (legume)	?	?	?	?	?	?	?	0	height is greater than width	?	no	no	no	clear and watery	clear	herb	green	no	0	3^12	?	fuzzy or hairy	fuzzy or hairy||not hairy, or with very few hairs	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	simple hairs with no glands	?	rectangular with rounded ends (oblong)||egg-shaped with the widest point above the middle (obovate)	uniform	?	no	yes	?	?	outward-pointing teeth	1^3	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes	at least one full leaf above the base	20^40	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	6^8	?	?||by two main valves, teeth or pores	ends abruptly in a  straight line as though cut off (truncate)	plain, without glands or branches, and not tangled	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	1^3	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	with parallel sides that do not taper, and flat across the top and bottom (cylindrical)	?	1^2	yes	?	3^8	?	yes	?	?	?	symmetrical	?	?	the secondary veins branch off at intervals from the primary vein	?	?	one main vein running from the base towards the tip	standing up straight or curved in different directions	?	10^25	?	?	?	yes	no	no	point mostly upwards to outwards	?	?	?	upright or angled outwards||trail at the base, but may turn upwards at the tips	?	?	?	?	?	3^100	?	no||yes	yes	5^7	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Medicago monantha	Medicago	Fabaceae	Fabales
terrestrial	yellow	compound	teeth	bilaterally symmetrical	5||4	?	10	dry but does not split open	1^10	no	?||solitary||not fused	no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	knob-like at the tip, and unbranched	2	yes	?	?	no	1	1	1||>=1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no||yes	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	not attached to petals	?	?	no	?||at the tip of the style	?	?	?	?	?	?	?	?	?	?	1	splits into two valves, but has a single carpel like a pea pod (legume)	with prickles||coiled in spirals before they split or fall	?	?	?	?	?	?	0	height is greater than width	smooth or without markings	no	yes	no	clear and watery	clear	herb	green	no||yes	0	8^20	1^2.5	fuzzy or hairy||not hairy, or with very few hairs	not hairy, or with very few hairs	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	?	widest near the middle and tapering at both ends (elliptic)||egg-shaped with the widest point above the middle (obovate)	uniform	?	no	yes	?	?	?	1^3	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes||no	at least one full leaf above the base	5^50	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	3^8	?	?||by two main valves, teeth or pores	bluntly pointed (obtuse)||blunt or rounded, with a notch at the tip (retuse)||ends abruptly in a  straight line as though cut off (truncate)	?	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	1^8	?	?	?	?	<=1	?	?	?	egg-shaped with the widest point above the middle (obovate)	with a blunt or rounded apex and a notch at the center (retuse)	?	?	?	?	?	?	?	?	4^10	no||yes	?	5^15	?	yes	?	?	?	symmetrical	?	?	?	thin and dry like paper (scarious)||thin and flexible and almost translucent like a membrane (membranaceous)	?	?	?	?	10^50	?	?	?	yes	no	no	?	?	?	?	upright or angled outwards||trail at the base, but may turn upwards at the tips	?	?	?	?	?	3^100	?	yes	yes	4^7	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Medicago polymorpha	Medicago	Fabaceae	Fabales
terrestrial	yellow	compound	teeth	bilaterally symmetrical	5||4	?	10	dry but does not split open	1^10	no	?||solitary||not fused	no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	knob-like at the tip, and unbranched	2	yes	?	?	no	1	1	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no||yes	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	not attached to petals	?	yes	no	?||at the tip of the style	?	?	?	?	?	?	?	?	?	?	1	splits into two valves, but has a single carpel like a pea pod (legume)	with prickles||coiled in spirals before they split or fall	?	?	?	?	?	?	0	height is greater than width	?	no	yes	no	clear and watery	clear	herb	green	no||yes	0	2^12	1^2.5	fuzzy or hairy	not hairy, or with very few hairs	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	?	widest near the middle and tapering at both ends (elliptic)||egg-shaped with the widest point above the middle (obovate)	uniform	?	no	yes	?	?	forward-pointing teeth	1^3	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes||no	at least one full leaf above the base	10^30	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	2^4	?	?||by two main valves, teeth or pores	blunt or rounded, with a notch at the tip (retuse)||ends abruptly in a  straight line as though cut off (truncate)	?	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	1^2	?	?	?	?	?	?	?	?	roughly circular, as wide as long (orbicular)	?	?	?	?	?	?	?	?	?	?	no||yes	?	2^13	?	yes	?	?	?	symmetrical	?	?	?	thin and dry like paper (scarious)||thin and flexible and almost translucent like a membrane (membranaceous)	?	?	?	?	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	yes	no	no	point mostly upwards to outwards	?	?	?	upright or angled outwards||trail at the base, but may turn upwards at the tips	?	?	?	?	?	3^100	?	yes	yes	2^12	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Medicago praecox	Medicago	Fabaceae	Fabales
terrestrial	yellow	compound	teeth	bilaterally symmetrical	5||4	?	10	dry but does not split open	1^10	no	?||solitary||not fused	no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	knob-like at the tip, and unbranched	2	yes	?	?	no	1	1	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no||yes	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	?	not attached to petals	?	yes	no	?||at the tip of the style	?	?	?	?	?	?	?	?	?	?	1	splits into two valves, but has a single carpel like a pea pod (legume)	with prickles||coiled in spirals before they split or fall	?	?	?	?	?	?	0	?	?	no	yes	no	clear and watery	clear	herb	green	no||yes	0	?	?	?	fuzzy or hairy	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	?	egg-shaped with the widest point above the middle (obovate)	uniform	?	no	yes	?	?	?	1^3	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes	at least one full leaf above the base	<=50	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	2^7	?	?||by two main valves, teeth or pores	?	?	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	1^8	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	yes	?	?	?	yes	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	yes	no	no	?	?	?	?	?	?	?	?	?	?	3^100	?	no||yes	yes	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Medicago rigidula	Medicago	Fabaceae	Fabales
terrestrial	blue to purple||white	compound	teeth	bilaterally symmetrical	5||4	fused into a cup or tube	10	dry but does not split open	1^10	no	?||solitary||not fused	no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	knob-like at the tip, and unbranched	2	yes	?	no marks	no	1	1	1	above the point of petal  attachment	blue to purple||white	thin, delicate, pigmented	no||yes	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	1^3	5	yes	not attached to petals	?	yes	no	?	?	?	?	?	?	?	?	?	?	?	1	splits into two valves, but has a single carpel like a pea pod (legume)	coiled in spirals before they split or fall	?	?	?	no||yes	?	?	0	height is greater than width	smooth or without markings	no	no	no	clear and watery	clear	herb	green	no	0	5^40	1.5^5	fuzzy or hairy	not hairy, or with very few hairs	1 leaf per node (alternate)	has stalk (petiole)	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	?	?	very narrow with more or less parallel sides (linear)||widest below the middle and broadly tapering at both ends (ovate)	uniform	?	no	yes	at the basal margin	?	outward-pointing teeth	3	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes||no	at least one full leaf above the base	30^100	?	no	?	flowers are arrayed in a spiral around the inflorescence axis||flowers occur singly||flowers occur in several ranks	two cycles	5^11	?	?||by two main valves, teeth or pores	rounded, with no point	plain, without glands or branches, and not tangled||no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	5^40	?	?	?	?	2^3	0	?	abruptly	rectangular but with rounded ends (oblong)||egg-shaped with the widest point above the middle (obovate)	?	green or brown, and leaf-like in texture	green to brown	lance-shaped; narrow, gradually tapering from the base to the tip (lanceolate)||extremely narrow, thread-like (linear)	all about the same size	?	?	widest in the middle and tapering to each end (ellipsoid)||longer than wide and with rounded ends (obloid)	point upward or spread or curve outward	5^9	no||yes	no	3^10	?	yes	?	no	no	symmetrical	no	flat (planar) at the edges	the secondary veins branch off at intervals from the primary vein	leafy (herbaceous)	the major veins branch, but do not rejoin	one main vein running from the base towards the tip	flat against the leaf surface, mostly pointing towards the leaf tip	is dull or slightly shiny	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	yes	no	no	?	no	no	?	upright or angled outwards	?	?	?	?	?	10^25	?	no||yes	yes	5^20	?	no	?	6^12	?	10^20	?	?	tapers to a very narrow point (acuminate)	?	?	?	?	?	?	?	Medicago sativa	Medicago	Fabaceae	Fabales
terrestrial	white	compound	teeth	bilaterally symmetrical	5||4	not fused||fused into a cup or tube	10	dry but does not split open	3^5	no	?||solitary||not fused	no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	narrow at the tip and unbranched	2	yes	?	no marks	no	1	1	1	above the point of petal  attachment	white	thin, delicate, pigmented	no||yes	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	2	5	yes	not attached to petals	?	yes	no	?	?	?	?	?	?	?	?	?	?	?	1	splits into two valves, but has a single carpel like a pea pod (legume)	?	?	?	?	yes	?	?	0	height is greater than width	with short, round or cylindrical projections (papillae)	no	no	no	clear and watery	clear	herb	green	no	0	15^30	1.2^2.5	fuzzy or hairy	not hairy, or with very few hairs	1 leaf per node (alternate)	has stalk (petiole)	?	simple hairs with no glands	?	rectangular with rounded ends (oblong)||egg-shaped with the widest point above the middle (obovate)	uniform	?	no	yes	at the basal margin	?	forward-pointing teeth	3	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes||no	at least one full leaf above the base	30^150	?	no	?	nearly all flowers are arrayed on one side of the inflorescence axis	two cycles	4^5	?	?||by two main valves, teeth or pores	?	plain, without glands or branches, and not tangled||no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	40^100	?	?	?	?	1^2	0	?	abruptly	?||rectangular but with rounded ends (oblong)||widest below the middle and broadly tapering at both ends (ovate)	?	green or brown, and leaf-like in texture	green to brown	lance-shaped; narrow, gradually tapering from the base to the tip (lanceolate)||awl-shaped: narrowly tapering from the base to the apex (subulate)	all about the same size	?	?	egg-shaped (ovoid)||spherical	curve or droop downwards||point upward or spread or curve outward	1.5^2	no	no	4^12	?	yes	?	no	no	symmetrical	no	flat (planar) at the edges	the secondary veins branch off at intervals from the primary vein	?	the major veins branch, but do not rejoin	one main vein running from the base towards the tip	flat against the leaf surface, mostly pointing towards the leaf tip	is dull or slightly shiny	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	yes	no	no||pleasant	pressed flat against the plant, pointing towards the tip	no	no	?	upright or angled outwards	?	?	?	?	?	80^200	?	no	yes	6^10	?	no	?	3.5^6	?	?	?	?	tapers to a very narrow point (acuminate)||sharply pointed (acute)	?	?	?	?	?	?	24^30	Melilotus albus	Melilotus	Fabaceae	Fabales
terrestrial	yellow	compound	teeth	bilaterally symmetrical	5||4	not fused||fused into a cup or tube	10	dry but does not split open	1.5^3	no	?||solitary||not fused	no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	knob-like at the tip, and unbranched	2	yes	?	?	no	1	1	?	above the point of petal  attachment	yellow	thin, delicate, pigmented	no||yes	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	?	5	yes	not attached to petals	?	yes	no	at the tip of the style	?	?	?	?	?	?	?	?	?	?	1	splits into two valves, but has a single carpel like a pea pod (legume)	?	?	?	?	no||yes	?	?	0	height is greater than width	?	no	no	no	clear and watery	clear	herb	green	no	0	10^25	?	fuzzy or hairy	not hairy, or with very few hairs	1 leaf per node (alternate)	?	wedge-shaped with straight, converging edges at the base (cuneate), or narrow	simple hairs with no glands	?	lance-shaped; widest above the middle (oblanceolate)||egg-shaped with the widest point above the middle (obovate)	uniform	?	no	yes	?	?	forward-pointing teeth	1^3	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes||no	at least one full leaf above the base	20^60	?	no	?	nearly all flowers are arrayed on one side of the inflorescence axis	two cycles	2^3	?	?||by two main valves, teeth or pores	bluntly pointed (obtuse)||blunt or rounded, with a notch at the tip (retuse)||ends abruptly in a  straight line as though cut off (truncate)	?	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	15^25	?	?	?	?	30^150	?	?	?	rectangular but with rounded ends (oblong)||widest below the middle and broadly tapering at both ends (ovate)	?	green or brown, and leaf-like in texture	?	lance-shaped; narrow, gradually tapering from the base to the tip (lanceolate)||rectangular, but with rounded ends (oblong)	all about the same size	?	?	egg-shaped (ovoid)||spherical	point upward or spread or curve outward	?	no	no	?	?	yes	?	?	?	symmetrical	?	?	the secondary veins branch off at intervals from the primary vein	?	the major veins branch, but do not rejoin	one main vein running from the base towards the tip	flat against the leaf surface, mostly pointing towards the leaf tip	is dull or slightly shiny	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	yes	no	pleasant	?	?	?	?	?	?	?	?	?	?	10^30	?	no||yes	yes	?	?	?	?	2^3	?	?	?	?	bluntly pointed (obtuse)	?	?	?	?	?	?	?	Melilotus indicus	Melilotus	Fabaceae	Fabales
terrestrial	yellow	compound	teeth	bilaterally symmetrical	5||4	not fused||fused into a cup or tube	10	dry but does not split open	3^5	no	?||solitary||not fused	no	no	no	0	superior ovary and hypanthium	both pollen- and seed-producing parts	narrow at the tip and unbranched	2	yes	?	no marks	no	1	1	1	above the point of petal  attachment	yellow	thin, delicate, pigmented	no||yes	?	?	5	?	synoecious: all flowers have carpels and stamens	no	is different	no	2^2.5	5	yes	not attached to petals	?	yes	no	?	?	?	?	?	?	?	?	?	?	?	1	splits into two valves, but has a single carpel like a pea pod (legume)	?	?	?	?	yes	?	?	0	height is greater than width	smooth or without markings	no	no	no	clear and watery	clear	herb	green	no	0	15^30	1^2.5	not hairy, or with very few hairs	not hairy, or with very few hairs	1 leaf per node (alternate)	has stalk (petiole)	?	?	?	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||egg-shaped with the widest point above the middle (obovate)||widest below the middle and broadly tapering at both ends (ovate)	uniform	?	no	yes	at the basal margin	?	forward-pointing teeth	3	one	have a terminal leaflet (odd number of leaflets per axis)	?	yes	?	yes||no	at least one full leaf above the base	40^250	?	no	?	nearly all flowers are arrayed on one side of the inflorescence axis	two cycles	4^7	?	?||by two main valves, teeth or pores	?	plain, without glands or branches, and not tangled||no	?	?	?	radially symmetrical	?	smooth, with no hairs or scales	?	30^70	?	?	?	?	2^25	0	?	abruptly	?||rectangular but with rounded ends (oblong)||widest below the middle and broadly tapering at both ends (ovate)	?	green or brown, and leaf-like in texture	green to brown	lance-shaped; narrow, gradually tapering from the base to the tip (lanceolate)||awl-shaped: narrowly tapering from the base to the apex (subulate)	all about the same size	?	?	egg-shaped (ovoid)||spherical	curve or droop downwards	1.5^2	no	no	5^15	?	yes	?	no	no	symmetrical	no	flat (planar) at the edges	the secondary veins branch off at intervals from the primary vein	?	the major veins branch, but do not rejoin	one main vein running from the base towards the tip	?	is dull or slightly shiny	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	yes	no	no||pleasant	pressed flat against the plant, pointing towards the tip	no	no	?	upright or angled outwards	?	?	?	?	?	10^200	?	no	yes	3^7	?	no	?	4.5^7	?	?	?	?	tapers to a very narrow point (acuminate)||sharply pointed (acute)	?	?	?	?	?	?	16^24	Melilotus officinalis	Melilotus	Fabaceae	Fabales
terrestrial	yellow	simple	lobes||teeth and lobes||teeth	radially symmetrical	5	not fused	>=13	dry and splits open	10	no	?	?	?	no	0	inferior ovary, with or without hypanthium	both pollen- and seed-producing parts	lobed at the tip, and unbranched	?	yes	?	?	no	?	1	1	below the point of petal attachment	yellow	thin, delicate, pigmented	?	?	?	5	?	?	?	?	no	?	5	?	attached at the bases of petals	?	no	?	at the tip of the style	?	?	?	?	?	?	?	?	?	?	1	splits along seams to release seeds (capsule)	?	?	?	?	?	?	?	0	?	?	no	?	no	clear and watery	clear	small shrub||herb	green	yes	0	?	?	fuzzy or hairy	fuzzy or hairy	1 leaf per node (alternate)	has stalk (petiole)||has no stalk	wedge-shaped with straight, converging edges at the base (cuneate), or narrow||rounded at the base	?	30^60	lance-shaped; widest below the middle and tapering at both ends (lanceolate)||widest below the middle and broadly tapering at both ends (ovate)	uniform	?	no	yes||no	?	?	forward-pointing teeth||margin is wavy, but does not have teeth	?	one	?	?	?	?	yes	at least one full leaf above the base	<=100	?	no	?	?	two cycles	?	?	?	?	are branched	?	?	?	radially symmetrical	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	with parallel sides that do not taper, and flat across the top and bottom (cylindrical)	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	all leaves are nearly similar in size, teeth, and length of stalks	?	?	?	?	?	?	?	upright or angled outwards	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	Mentzelia oligosperma	Mentzelia	Loasaceae	Cornales
